subset_size,moa,n_peaks,n_nonpeaks,peak_presence_rate,basin_weighted_peak_presence_rate,nonpeak_presence_rate,enrichment_delta,basin_weighted_enrichment_delta,enrichment_ratio
1,C_Wall,0,24,,,0.25,,,
1,F_Acid,0,24,,,0.125,,,
1,DNA_gyr,0,24,,,0.125,,,
1,30s,0,24,,,0.25,,,
1,50s,0,24,,,0.25,,,
2,C_Wall,6,246,0.0,0.0,0.47560975609756095,-0.47560975609756095,-0.47560975609756095,0.0
2,F_Acid,6,246,0.8333333333333334,0.9869441044471644,0.23577235772357724,0.5975609756097562,0.7511717467235872,3.53448275862069
2,DNA_gyr,6,246,0.16666666666666666,0.013055895552835577,0.25203252032520324,-0.08536585365853658,-0.23897662477236767,0.6612903225806451
2,30s,6,246,0.16666666666666666,0.013055895552835577,0.4715447154471545,-0.30487804878048785,-0.4584888198943189,0.35344827586206895
2,50s,6,246,0.8333333333333334,0.9869441044471644,0.45528455284552843,0.37804878048780494,0.531659551601636,1.830357142857143
3,C_Wall,1,1511,0.0,0.0,0.6432825943084051,-0.6432825943084051,-0.6432825943084051,0.0
3,F_Acid,1,1511,0.0,0.0,0.3752481800132363,-0.3752481800132363,-0.3752481800132363,0.0
3,DNA_gyr,1,1511,0.0,0.0,0.3752481800132363,-0.3752481800132363,-0.3752481800132363,0.0
3,30s,1,1511,1.0,1.0,0.642620780939775,0.35737921906022496,0.35737921906022496,1.556127703398558
3,50s,1,1511,1.0,1.0,0.642620780939775,0.35737921906022496,0.35737921906022496,1.556127703398558
4,C_Wall,29,5641,0.6896551724137931,0.3759124087591241,0.7862081191278142,-0.09655294671402104,-0.4102957103686901,0.8771916183959881
4,F_Acid,29,5641,0.7241379310344828,0.5437956204379562,0.49884772203510014,0.22529020899938262,0.04494789840285601,1.4516212043232115
4,DNA_gyr,29,5641,0.4482758620689655,0.714963503649635,0.5002659102995922,-0.051990048230626695,0.2146975933500428,0.8960751729025637
4,30s,29,5641,0.4827586206896552,0.756934306569343,0.7872717603261833,-0.3045131396365281,-0.03033745375684027,0.6132045438663241
4,50s,29,5641,0.896551724137931,0.9602189781021898,0.7851444779294451,0.11140724620848597,0.17507450017274473,1.1418939435227071
5,C_Wall,628,12980,0.8757961783439491,0.7479249011857707,0.8936825885978429,-0.017886410253893814,-0.14575768741207218,0.9799857236986602
5,F_Acid,628,12980,0.6863057324840764,0.8180830039525692,0.6220338983050847,0.06427183417899174,0.19604910564748446,1.1033252920043737
5,DNA_gyr,628,12980,0.732484076433121,0.8153162055335968,0.6197996918335902,0.11268438459953078,0.19551651370000667,1.1818077454446128
5,30s,628,12980,0.5923566878980892,0.5276679841897233,0.9073959938366718,-0.31503930593858265,-0.37972800964694853,0.6528094590692135
5,50s,628,12980,0.947452229299363,0.9923913043478261,0.8902157164869029,0.057236512812460116,0.10217558786092318,1.0642951048295743
